iter	RMSE
205	0.3744345647
206	0.3743661173
207	0.3742935768
208	0.3740340124
209	0.373894674
210	0.3738567934
211	0.3738564686
212	0.3736741974
213	0.3732022864
214	0.37315065
215	0.3730719003
216	0.3728216317
217	0.3725608952
218	0.3725313362
219	0.3723469063
220	0.3722570784
221	0.3721425516
222	0.3719923273
223	0.3718691365
224	0.3718089513
225	0.3717984499
226	0.3717115577
227	0.3716876625
228	0.371200613
229	0.371180395
230	0.37111883
231	0.3709011453
232	0.3705331296
233	0.370270355
234	0.3702191437
235	0.370208131
236	0.3700920891
237	0.3699772339
238	0.3697745952
239	0.3697561806
240	0.3696192928
241	0.3696192908
242	0.3693775659
243	0.369168472
244	0.3690549184
245	0.368926635
246	0.3687569586
247	0.3686544069
248	0.3684079412
249	0.3683061678
250	0.3682210878
251	0.3681628386
252	0.3680588886
253	0.3677140635
254	0.3676084732
255	0.367437357
256	0.3673889509
257	0.3670963811
258	0.3667367071
259	0.3666708427
260	0.3665680499
261	0.366139836
262	0.3660763624
263	0.3660714272
264	0.3656234255
265	0.3655782368
266	0.3655158154
267	0.3653172375
268	0.3653048012
269	0.3652923812
270	0.365276993
271	0.3650508256
272	0.3649787334
273	0.3649340688
274	0.3646911219
275	0.3645586398
276	0.3642808485
277	0.3640890508
278	0.3640583553
279	0.3639845137
280	0.3638859793
281	0.3638555447
282	0.3638257505
283	0.3637752757
284	0.363617083
285	0.3633303305
286	0.3630583091
287	0.3629015394
288	0.3628922043
289	0.3628728754
290	0.3625336626
291	0.3624818787
292	0.3624354409
293	0.3622826052
294	0.3621481893
295	0.3621368075
296	0.3619984446
297	0.361905749
298	0.3614596774
299	0.3613174824
300	0.3609770084
301	0.3609215263
302	0.360750449
303	0.3606797813
304	0.3604237832
305	0.3602582657
306	0.3602126727
307	0.3601687159
308	0.3600642277
309	0.3598275535
310	0.3596766965
311	0.3596507667
312	0.3596216831
313	0.3595316843
314	0.3594976673
315	0.359477949
316	0.3593576123
317	0.3592293218
318	0.35910719
319	0.3590988076
320	0.3590590066
321	0.3589592674
322	0.3589205555
323	0.3588575319
324	0.358786069
325	0.3584630467
326	0.3583666074
327	0.3583120229
328	0.3582450475
329	0.357810767
330	0.3577102481
331	0.357637347
332	0.357577361
333	0.3573485624
334	0.3572698956
335	0.3571002546
336	0.3570716389
337	0.3567729281
338	0.3567514308
339	0.3566487044
340	0.3565736217
341	0.356471144
342	0.3564326217
343	0.3563927535
344	0.3563736488
345	0.3563302239
346	0.3563191565
347	0.3562427455
348	0.3561422017
349	0.3560624504
350	0.3560412831
351	0.3559695316
352	0.3558043184
353	0.3556943457
354	0.3556587792
355	0.3556143514
356	0.3555926113
357	0.3555330701
358	0.3555225772
359	0.3554698477
360	0.3553333863
361	0.3552015538
362	0.3551827848
363	0.3551793928
364	0.355060682
365	0.3550261437
366	0.3549941165
367	0.3548281533
368	0.3548148694
369	0.3545869785
370	0.3545350825
371	0.354504626
372	0.3543450658
373	0.3543326069
374	0.3542970822
375	0.3540544327
376	0.3540458355
377	0.3538402198
378	0.353832108
379	0.3537889888
380	0.3534998496
381	0.3534048489
382	0.3533422683
383	0.3533237893
384	0.3530562711
385	0.3529930462
386	0.3529681912
387	0.3529442384
388	0.3529006602
389	0.3528788415
390	0.3528279444
391	0.3527763627
392	0.3526448065
393	0.352435245
394	0.3524135226
395	0.3524074094
396	0.3522734996
397	0.3520343829
398	0.351969313
399	0.3518176378
400	0.351382293
401	0.3513468861
402	0.3512967211
403	0.3512119879
404	0.3512051458
405	0.3511386998
406	0.3511059141
407	0.3509679694
408	0.3508679319
409	0.350806939
410	0.3507895889
411	0.3507875276
412	0.3506794036
413	0.3506549819
414	0.3505135426
415	0.3504639157
416	0.3503466688
417	0.3502904014
418	0.3502320064
419	0.3502260382
420	0.3502208645
421	0.3502080241
422	0.3501544795
423	0.3501430215
424	0.3500925003
425	0.3499924581
426	0.349819822
427	0.3497984214
428	0.3494123482
429	0.3492763084
430	0.3490369557
431	0.3488329551
432	0.3488221304
433	0.3487385686
434	0.3486074997
435	0.3485718565
436	0.3483333641
437	0.3482785958
438	0.3480961231
439	0.3480131308
440	0.3479292276
441	0.3478547226
442	0.347812739
443	0.3477520844
444	0.3476099126
445	0.3475555312
446	0.3475478024
447	0.3475328142
448	0.3473987279
449	0.3473260251
450	0.3471583568
451	0.3471403425
452	0.3471162546
453	0.3469991738
454	0.3469882158
455	0.3469774308
456	0.3469754151
457	0.3469303812
458	0.3468623899
459	0.3468322881
460	0.346399506
461	0.3463616902
462	0.3463157298
463	0.3462064258
464	0.3460966134
465	0.3459981891
466	0.3458579289
467	0.3458422329
468	0.3457933419
469	0.3457749818
470	0.3457178166
471	0.3456865159
472	0.3456344711
473	0.3455661808
474	0.3455203691
475	0.3453594264
476	0.3452677233
477	0.345208613
478	0.3451314761
479	0.3451034889
480	0.3450842151
481	0.3449845386
482	0.3447869633
483	0.3447764394
484	0.344737652
485	0.3447232263
486	0.3446450055
487	0.344553832
488	0.3444826924
489	0.3442142456
490	0.3442046804
491	0.3440782558
492	0.3440408939
493	0.3440087132
494	0.3438382446
495	0.3438350239
496	0.3438163068
497	0.3437906158
498	0.343774212
499	0.3437643251
500	0.3437402209
501	0.3436921871
502	0.3435904904
503	0.343527535
504	0.3434739641
505	0.343447213
506	0.3434339197
507	0.3432726654
508	0.3432465945
509	0.3431708845
510	0.3431400296
511	0.3431164606
512	0.3430072799
513	0.3429921602
514	0.3429888134
515	0.3429792545
516	0.3429077507
517	0.3428904426
518	0.3428426849
519	0.3428370559
520	0.3427932323
521	0.3426036848
522	0.3421099204
523	0.3417120723
524	0.3416730294
525	0.3416283002
526	0.3415849752
527	0.3415667725
528	0.3414009668
529	0.3412180757
530	0.3411655651
531	0.3411270844
532	0.3409450073
533	0.3408735345
534	0.340650841
535	0.340554018
536	0.3404737125
537	0.3404685907
538	0.3403346542
539	0.3403125349
540	0.3402975824
541	0.3400621575
542	0.3400013863
543	0.3399309314
544	0.3399253044
545	0.3398450181
546	0.3398372526
547	0.3397572759
548	0.3397172295
549	0.3397073931
550	0.3394291637
551	0.3391786585
552	0.3390991966
553	0.3387343579
554	0.3387034251
555	0.3386514037
556	0.3385871995
557	0.3385681351
558	0.3385316903
559	0.3384512136
560	0.3382804484
561	0.3382580251
562	0.3382023383
563	0.3380287323
564	0.3380061491
565	0.3379925039
566	0.3379819816
567	0.3378473453
568	0.3377865509
569	0.3376946515
570	0.3376855786
571	0.3376753248
572	0.3376609447
573	0.3375603132
574	0.3375239735
575	0.3374903547
576	0.3373599053
577	0.337353756
578	0.3373227191
579	0.3372877999
580	0.3372087343
581	0.3372071591
582	0.3371741205
583	0.3371317554
584	0.3371106656
585	0.3370868657
586	0.3370867677
587	0.3370499965
588	0.3370199244
589	0.3370018679
590	0.3369643699
591	0.3369380251
592	0.3368739696
593	0.3368102316
594	0.3367704115
595	0.33674811
596	0.3367335061
597	0.3365401081
598	0.336264824
599	0.3362375208
600	0.336222012
601	0.3362134817
602	0.3361620318
603	0.3359480448
604	0.3358774955
605	0.3357665391
606	0.3357334924
607	0.3356437301
608	0.3356058707
609	0.3355811459
610	0.3354334257
611	0.3353712151
612	0.3352314134
613	0.3351998426
614	0.3351515689
615	0.3351421971
616	0.335125857
617	0.3351076713
618	0.3350344294
619	0.3350174611
620	0.3350139255
621	0.3349187507
622	0.3348724177
623	0.3348550226
624	0.3348320203
625	0.3347844027
626	0.3346818965
627	0.3346400357
628	0.3346274529
629	0.3345259329
630	0.334449062
631	0.334448957
632	0.3343792565
633	0.3343683208
634	0.3343391444
635	0.3343173139
636	0.3342809155
637	0.3341311021
638	0.3340534123
639	0.3339897614
640	0.3339761965
641	0.3339657976
642	0.3335524513
643	0.3334070628
644	0.3333637807
645	0.3333069887
646	0.3331358368
647	0.3331075485
648	0.3330799055
649	0.3330609183
650	0.3330600919
651	0.3330542676
652	0.3327527724
653	0.3327264888
654	0.3326407819
655	0.3326126658
656	0.332523266
657	0.3324855627
658	0.3324407229
659	0.3323308965
660	0.3321938063
661	0.3321497298
662	0.3320237288
663	0.332013113
664	0.33199725
665	0.3319858651
666	0.33192146
667	0.3318915772
668	0.3318662553
669	0.3318294467
670	0.3318109337
671	0.3317637083
672	0.331739727
673	0.3317175114
674	0.331313265
675	0.3312652008
676	0.331258945
677	0.3311320147
678	0.3310805148
679	0.3309072418
680	0.3308776199
681	0.330798546
682	0.3307450605
683	0.3307307239
684	0.3307143215
685	0.3306943507
686	0.330683077
687	0.3306731184
688	0.3306481027
689	0.3306301334
690	0.3306186698
691	0.3305904319
692	0.3305696304
693	0.3305177724
694	0.330501071
695	0.3304595719
696	0.3304493675
697	0.3303894608
698	0.3303311129
699	0.3303097762
