iter	Passed	Remaining
402	11044	16360
403	11070	16331
404	11098	16304
405	11127	16279
406	11153	16251
407	11181	16223
408	11207	16195
409	11234	16166
410	11262	16139
411	11287	16108
412	11315	16082
413	11341	16054
414	11367	16024
415	11395	15998
416	11426	15975
417	11452	15946
418	11480	15919
419	11508	15892
420	11534	15862
421	11562	15836
422	11588	15807
423	11615	15779
424	11642	15751
425	11668	15722
426	11697	15696
427	11725	15670
428	11752	15642
429	11779	15614
430	11807	15588
431	11839	15566
432	11867	15540
433	11899	15518
434	11926	15490
435	11954	15464
436	11982	15437
437	12008	15407
438	12035	15380
439	12064	15354
440	12091	15326
441	12125	15308
442	12154	15282
443	12181	15254
444	12209	15227
445	12235	15198
446	12263	15171
447	12291	15145
448	12319	15117
449	12346	15090
450	12374	15063
451	12400	15034
452	12430	15010
453	12458	14983
454	12484	14954
455	12512	14927
456	12539	14898
457	12566	14871
458	12594	14844
459	12621	14816
460	12649	14789
461	12680	14766
462	12708	14739
463	12735	14711
464	12763	14684
465	12789	14655
466	12819	14631
467	12847	14604
468	12860	14561
469	12888	14534
470	12915	14505
471	12942	14478
472	12969	14450
473	12996	14421
474	13023	14394
475	13051	14367
476	13077	14338
477	13105	14311
478	13131	14282
479	13163	14260
480	13191	14233
481	13217	14205
482	13244	14176
483	13272	14149
484	13299	14121
485	13326	14094
486	13357	14070
487	13383	14041
488	13411	14015
489	13439	13987
490	13466	13959
491	13494	13933
492	13522	13906
493	13549	13878
494	13577	13851
495	13606	13825
496	13634	13799
497	13662	13772
498	13690	13745
499	13718	13718
500	13746	13691
501	13772	13662
502	13798	13634
503	13826	13607
504	13854	13579
505	13881	13552
506	13907	13523
507	13935	13496
508	13962	13468
509	13988	13439
510	14016	13412
511	14043	13385
512	14071	13357
513	14098	13330
514	14125	13302
515	14151	13274
516	14179	13246
517	14204	13217
518	14233	13191
519	14261	13164
520	14288	13136
521	14316	13109
522	14355	13093
523	14384	13066
524	14411	13038
525	14438	13011
526	14465	12982
527	14491	12954
528	14519	12927
529	14546	12900
530	14573	12871
531	14601	12844
532	14627	12816
533	14656	12790
534	14683	12762
535	14710	12734
536	14738	12707
537	14765	12679
538	14793	12652
539	14820	12625
540	14849	12598
541	14876	12570
542	14903	12543
543	14930	12515
544	14958	12488
545	14986	12461
546	15013	12433
547	15040	12405
548	15067	12377
549	15094	12349
550	15121	12322
551	15150	12295
552	15177	12267
553	15208	12243
554	15234	12215
555	15261	12187
556	15290	12161
557	15318	12133
558	15345	12106
559	15374	12079
560	15401	12051
561	15428	12024
562	15456	11997
563	15482	11968
564	15510	11942
565	15537	11914
566	15565	11886
567	15593	11859
568	15621	11832
569	15647	11804
570	15676	11777
571	15702	11749
572	15731	11722
573	15758	11695
574	15785	11667
575	15813	11640
576	15840	11613
577	15866	11584
578	15897	11558
579	15924	11531
580	15959	11509
581	15988	11482
582	16015	11455
583	16042	11427
584	16069	11399
585	16097	11372
586	16123	11344
587	16152	11317
588	16179	11290
589	16207	11262
590	16235	11235
591	16263	11208
592	16290	11180
593	16317	11153
594	16343	11124
595	16371	11097
596	16429	11090
597	16455	11062
598	16483	11034
599	16509	11006
600	16537	10979
601	16563	10950
602	16591	10923
603	16619	10896
604	16645	10867
605	16672	10840
606	16701	10813
607	16729	10786
608	16756	10758
609	16784	10731
610	16811	10703
611	16839	10675
612	16866	10648
613	16894	10620
614	16922	10593
615	16949	10566
616	16987	10545
617	17015	10517
618	17044	10491
619	17071	10463
620	17099	10435
621	17127	10408
622	17154	10380
623	17182	10353
624	17210	10326
625	17237	10298
626	17265	10270
627	17293	10243
628	17319	10215
629	17347	10188
630	17373	10159
631	17401	10132
632	17428	10104
633	17456	10077
634	17481	10048
635	17509	10021
636	17537	9993
637	17564	9966
638	17591	9937
639	17618	9910
640	17645	9882
641	17673	9855
642	17700	9827
643	17729	9800
644	17756	9772
645	17783	9745
646	17811	9718
647	17839	9690
648	17867	9663
649	17894	9635
650	17920	9607
651	17948	9579
652	17976	9552
653	18003	9524
654	18031	9497
655	18057	9469
656	18085	9441
657	18113	9414
658	18140	9386
659	18168	9359
660	18196	9332
661	18223	9304
662	18255	9279
663	18282	9251
664	18309	9223
665	18338	9196
666	18366	9169
667	18393	9141
668	18421	9114
669	18447	9085
670	18474	9058
671	18502	9030
672	18529	9003
673	18556	8975
674	18583	8947
675	18609	8919
676	18639	8892
677	18667	8865
678	18694	8837
679	18723	8811
680	18750	8783
681	18778	8755
682	18806	8728
683	18850	8708
684	18876	8680
685	18904	8652
686	18934	8626
687	18961	8598
688	18987	8570
689	19015	8543
690	19043	8515
691	19070	8487
692	19098	8460
693	19124	8432
694	19152	8405
695	19179	8377
696	19205	8349
697	19233	8321
698	19264	8295
699	19291	8267
700	19319	8240
701	19344	8211
702	19371	8184
703	19399	8156
704	19425	8128
705	19454	8101
706	19481	8073
707	19507	8045
708	19536	8018
709	19565	7991
710	19592	7963
711	19619	7936
712	19644	7907
713	19672	7879
714	19700	7852
715	19729	7825
716	19754	7797
717	19782	7769
718	19808	7741
719	19836	7714
720	19864	7686
721	19890	7658
722	19918	7631
723	19943	7602
724	19971	7575
725	19999	7547
726	20026	7520
727	20052	7492
728	20081	7465
729	20107	7437
730	20136	7410
731	20163	7382
732	20191	7354
733	20219	7327
734	20245	7299
735	20273	7271
736	20301	7244
737	20331	7217
738	20358	7190
739	20385	7162
740	20411	7134
741	20439	7107
742	20466	7079
743	20494	7051
744	20522	7024
745	20550	6996
746	20576	6968
747	20604	6941
748	20631	6913
749	20659	6886
750	20687	6859
751	20716	6832
752	20743	6804
753	20771	6776
754	20797	6748
755	20826	6721
756	20854	6694
757	20881	6666
758	20909	6639
759	20935	6611
760	20978	6588
761	21005	6560
762	21033	6533
763	21059	6505
764	21088	6478
765	21116	6450
766	21142	6422
767	21169	6395
768	21197	6367
769	21224	6339
770	21251	6312
771	21280	6285
772	21307	6257
773	21335	6229
774	21366	6203
775	21394	6175
776	21423	6148
777	21450	6120
778	21477	6092
779	21505	6065
780	21532	6037
781	21559	6010
782	21587	5982
783	21615	5955
784	21641	5927
785	21667	5899
786	21696	5872
787	21726	5845
788	21753	5817
789	21779	5789
790	21806	5761
791	21832	5733
792	21860	5706
793	21888	5678
794	21916	5651
795	21942	5623
796	21970	5596
797	21996	5568
798	22025	5540
799	22051	5512
800	22078	5485
801	22106	5457
802	22133	5429
803	22159	5402
804	22199	5377
805	22227	5350
806	22254	5322
807	22283	5295
808	22311	5267
809	22338	5239
810	22366	5212
811	22393	5184
812	22420	5156
813	22448	5129
814	22474	5101
815	22501	5073
816	22529	5046
817	22555	5018
818	22587	4991
819	22615	4964
820	22641	4936
821	22669	4908
822	22696	4881
823	22723	4853
824	22750	4825
825	22778	4798
826	22805	4770
827	22832	4742
828	22860	4715
829	22887	4687
830	22915	4660
831	22940	4632
832	22969	4604
833	22996	4577
834	23023	4549
835	23051	4522
836	23078	4494
837	23105	4466
838	23132	4439
839	23160	4411
840	23188	4383
841	23215	4356
842	23240	4328
843	23269	4300
844	23296	4273
845	23325	4245
846	23352	4218
847	23380	4190
848	23408	4163
849	23436	4135
850	23462	4107
851	23490	4080
852	23519	4053
853	23547	4025
854	23574	3997
855	23602	3970
856	23628	3942
857	23656	3915
858	23682	3887
859	23709	3859
860	23737	3832
861	23765	3804
862	23791	3776
863	23819	3749
864	23847	3721
865	23874	3694
866	23902	3666
867	23928	3638
868	23956	3611
869	23984	3583
870	24010	3556
871	24039	3528
872	24066	3501
873	24091	3473
874	24119	3445
875	24147	3418
876	24175	3390
877	24203	3363
878	24229	3335
879	24256	3307
880	24284	3280
881	24311	3252
882	24338	3224
883	24366	3197
884	24392	3169
885	24420	3142
886	24448	3114
887	24475	3087
888	24503	3059
889	24529	3031
890	24556	3004
891	24586	2976
892	24613	2949
893	24640	2921
894	24667	2893
895	24693	2866
896	24722	2838
897	24748	2811
898	24776	2783
899	24803	2755
900	24830	2728
901	24856	2700
902	24885	2673
903	24911	2645
904	24938	2617
905	24967	2590
906	24993	2562
907	25020	2535
908	25048	2507
909	25075	2480
910	25103	2452
911	25130	2424
912	25159	2397
913	25187	2369
914	25214	2342
915	25241	2314
916	25269	2287
917	25295	2259
918	25322	2231
919	25349	2204
920	25376	2176
921	25404	2149
922	25430	2121
923	25458	2093
924	25486	2066
925	25514	2038
926	25540	2011
927	25568	1983
928	25594	1956
929	25623	1928
930	25650	1901
931	25677	1873
932	25706	1846
933	25733	1818
934	25759	1790
935	25786	1763
936	25812	1735
937	25839	1707
938	25867	1680
939	25893	1652
940	25921	1625
941	25949	1597
942	25975	1570
943	26003	1542
944	26029	1514
945	26056	1487
946	26083	1459
947	26109	1432
948	26137	1404
949	26164	1377
950	26191	1349
951	26218	1321
952	26246	1294
953	26273	1266
954	26301	1239
955	26326	1211
956	26353	1184
957	26379	1156
958	26413	1129
959	26439	1101
960	26467	1074
961	26493	1046
962	26520	1018
963	26546	991
964	26574	963
965	26602	936
966	26628	908
967	26656	881
968	26684	853
969	26714	826
970	26740	798
971	26768	771
972	26794	743
973	26822	716
974	26849	688
975	26878	660
976	26907	633
977	26935	605
978	26961	578
979	26989	550
980	27020	523
981	27047	495
982	27075	468
983	27102	440
984	27129	413
985	27155	385
986	27182	358
987	27210	330
988	27227	302
989	27255	275
990	27283	247
991	27310	220
992	27338	192
993	27366	165
994	27391	137
995	27418	110
996	27445	82
997	27472	55
998	27500	27
999	27528	0
