iter	Passed	Remaining
167	2301	4547
168	2314	4533
169	2328	4519
170	2341	4505
171	2356	4493
172	2370	4480
173	2384	4466
174	2397	4452
175	2410	4438
176	2423	4423
177	2437	4409
178	2451	4395
179	2464	4381
180	2478	4367
181	2491	4353
182	2505	4339
183	2519	4326
184	2532	4312
185	2546	4298
186	2559	4283
187	2573	4270
188	2586	4256
189	2600	4242
190	2613	4228
191	2626	4213
192	2639	4199
193	2653	4185
194	2667	4172
195	2681	4159
196	2695	4145
197	2708	4131
198	2728	4126
199	2741	4112
200	2755	4098
201	2769	4085
202	2783	4072
203	2797	4058
204	2811	4045
205	2824	4031
206	2838	4018
207	2852	4004
208	2866	3991
209	2880	3977
210	2893	3963
211	2907	3950
212	2921	3936
213	2935	3922
214	2949	3909
215	2962	3895
216	2976	3881
217	2990	3867
218	3003	3854
219	3017	3840
220	3030	3826
221	3044	3812
222	3057	3797
223	3070	3782
224	3083	3768
225	3096	3754
226	3110	3740
227	3123	3726
228	3136	3711
229	3149	3697
230	3163	3683
231	3176	3669
232	3189	3655
233	3202	3640
234	3216	3627
235	3230	3613
236	3244	3600
237	3257	3586
238	3271	3572
239	3284	3558
240	3298	3544
241	3312	3531
242	3326	3518
243	3340	3504
244	3353	3490
245	3367	3477
246	3381	3463
247	3395	3449
248	3408	3436
249	3422	3422
250	3435	3408
251	3449	3394
252	3463	3381
253	3476	3367
254	3490	3353
255	3504	3339
256	3517	3326
257	3531	3312
258	3548	3301
259	3562	3288
260	3579	3277
261	3593	3263
262	3606	3249
263	3620	3236
264	3633	3222
265	3647	3208
266	3660	3194
267	3689	3194
268	3710	3186
269	3727	3174
270	3743	3162
271	3767	3158
272	3783	3145
273	3798	3132
274	3813	3120
275	3828	3106
276	3842	3093
277	3855	3079
278	3869	3065
279	3883	3051
280	3896	3036
281	3910	3022
282	3923	3008
283	3937	2994
284	3950	2979
285	3963	2965
286	3977	2951
287	3990	2937
288	4004	2923
289	4017	2909
290	4030	2894
291	4044	2881
292	4058	2866
293	4071	2852
294	4085	2838
295	4098	2824
296	4112	2810
297	4125	2796
298	4139	2782
299	4152	2768
300	4166	2754
301	4180	2740
302	4194	2727
303	4208	2713
304	4221	2699
305	4235	2685
306	4248	2671
307	4262	2657
308	4276	2643
309	4289	2629
310	4303	2615
311	4316	2601
312	4329	2586
313	4344	2573
314	4358	2559
315	4372	2546
316	4386	2532
317	4400	2518
318	4413	2504
319	4427	2490
320	4441	2476
321	4454	2462
322	4467	2448
323	4481	2434
324	4494	2420
325	4508	2406
326	4520	2391
327	4535	2378
328	4548	2364
329	4562	2350
330	4575	2336
331	4589	2322
332	4603	2308
333	4617	2294
334	4631	2280
335	4644	2266
336	4658	2252
337	4672	2239
338	4686	2225
339	4700	2212
340	4714	2198
341	4728	2184
342	4742	2170
343	4755	2156
344	4768	2142
345	4782	2128
346	4796	2114
347	4809	2100
348	4823	2087
349	4837	2073
350	4850	2058
351	4863	2044
352	4876	2030
353	4890	2017
354	4905	2003
355	4918	1989
356	4932	1975
357	4945	1961
358	4959	1947
359	4972	1933
360	4985	1919
361	5000	1906
362	5013	1892
363	5027	1878
364	5040	1864
365	5055	1850
366	5068	1836
367	5081	1822
368	5095	1808
369	5108	1794
370	5122	1781
371	5137	1767
372	5151	1753
373	5163	1739
374	5177	1725
375	5190	1711
376	5204	1697
377	5217	1683
378	5231	1670
379	5244	1656
380	5257	1642
381	5273	1629
382	5287	1615
383	5301	1601
384	5314	1587
385	5328	1573
386	5342	1559
387	5355	1546
388	5369	1532
389	5383	1518
390	5395	1504
391	5408	1490
392	5421	1476
393	5435	1462
394	5449	1448
395	5462	1434
396	5475	1420
397	5488	1406
398	5502	1392
399	5515	1378
400	5528	1364
401	5542	1351
402	5555	1337
403	5569	1323
404	5583	1309
405	5596	1295
406	5610	1282
407	5624	1268
408	5638	1254
409	5652	1240
410	5665	1226
411	5679	1213
412	5692	1199
413	5705	1185
414	5719	1171
415	5732	1157
416	5746	1143
417	5760	1129
418	5773	1116
419	5787	1102
420	5801	1088
421	5814	1074
422	5828	1060
423	5841	1047
424	5855	1033
425	5869	1019
426	5882	1005
427	5896	991
428	5909	978
429	5923	964
430	5936	950
431	5950	936
432	5963	922
433	5976	908
434	5989	894
435	6002	881
436	6015	867
437	6029	853
438	6042	839
439	6055	825
440	6068	811
441	6081	797
442	6094	784
443	6107	770
444	6120	756
445	6133	742
446	6147	728
447	6160	715
448	6173	701
449	6185	687
450	6198	673
451	6212	659
452	6225	645
453	6238	632
454	6251	618
455	6264	604
456	6278	590
457	6290	576
458	6303	563
459	6316	549
460	6329	535
461	6342	521
462	6355	507
463	6368	494
464	6382	480
465	6395	466
466	6408	452
467	6421	439
468	6433	425
469	6447	411
470	6460	397
471	6474	384
472	6487	370
473	6500	356
474	6513	342
475	6527	329
476	6540	315
477	6553	301
478	6567	287
479	6580	274
480	6594	260
481	6607	246
482	6621	233
483	6634	219
484	6648	205
485	6661	191
486	6675	178
487	6688	164
488	6702	150
489	6715	137
490	6728	123
491	6742	109
492	6755	95
493	6768	82
494	6782	68
495	6795	54
496	6808	41
497	6821	27
498	6834	13
499	6848	0
